token,docIds
punished,[1 3]
suppose,[1 2 3 4 5]
drowned,[1]
_will_,[1 4]
something,[1 2 4 5]
splashing,[1]
nearer,[1 2 3 4]
walrus,[1]
hippopotamus,[1]
talk,[1 2 3 4 5]
harm,[1 2 3 4]
o,[1 2 3 4]
swimming,[1 3]
speaking,[1 3 4]
brother,[1 2 3 4 5]
latin,[1 3]
grammar,[1]
inquisitively,[1]
wink,[1 4 5]
understand,[1 2 3 4 5]
daresay,[1]
french,[1 3 4]
william,[1 2 3 4]
conqueror,[1 3]
history,[1 2 3 4]
clear,[1 2 3 4]
notion,[1 4]
ago,[1 2 3 4]
est,[1 3]
chatte,[1]
sentence,[1 2 3 4 5]
lesson,[1 2 4]
leap,[1]
quiver,[1]
fright,[1]
beg,[1 2 3 4 5]
pardon,[1 2 4]
animal,[1 2 4]
feelings,[1 2 3 4]
shrill,[1]
passionate,[1 2]
_you_,[1 4]
soothing,[1 2]
tone,[1 3 4]
angry,[1 3 4 5]
yet,[1 2 3 4 5]
show,[1 2 3 4]
our,[1 2 3 4 5]
d,[1 2 3 4 5]
quiet,[1 3 4 5]
lazily,[1]
sits,[1 3]
purring,[1]
nicely,[1 4]
fire,[1 2 3 4 5]
licking,[1]
paws,[1]
washing,[1]
soft,[1 2]
nurse,[1 2]
catching,[1 2 4]
bristling,[1]
offended,[1 4]
we,[1 2 3 4 5]
trembling,[1 2 4]
subject,[1 2 3 4 5]
family,[1 2 3 4]
always,[1 2 3 4 5]
_hated_,[1]
nasty,[1 4]
vulgar,[1 2 4]
conversation,[1 2 3 4]
dogs,[1 2]
eagerly,[1 2 3 4]
dog,[1 2 3]
eyed,[1 2]
terrier,[1]
curly,[1 3]
brown,[1 4]
fetch,[1 3 4]
throw,[1 2 3 4]
sit,[1 3 4 5]
dinner,[1 4 5]
belongs,[1 2 3 4]
farmer,[1]
says,[1 2 3 4 5]
useful,[1 2 4]
hundred,[1 2 3 4]
pounds,[1 4]
kills,[1 3]
rats,[1]
sorrowful,[1 2 3]
commotion,[1]
called,[1 2 3 4 5]
softly,[1 5]
pale,[1 2 4]
passion,[1 2 4]
us,[1 2 3 4 5]
shore,[1 2 3]
hate,[1 3 4 5]
crowded,[1 2 4]
birds,[1 4]
animals,[1]
duck,[1]
dodo,[1]
lory,[1]
eaglet,[1]
creatures,[1 2 3 4]
whole,[1 2 3 4 5]
looking,[1 2 3 4 5]
assembled,[1 3 4]
draggled,[1]
feathers,[1 3 4]
fur,[1]
clinging,[1]
dripping,[1 3]
wet,[1 2 4]
cross,[1 2 4 5]
uncomfortable,[1 4 5]
course,[1 2 3 4 5]
consultation,[1]
familiarly,[1 2 4]
known,[1 2 3 4]
argument,[1 2 3 4]
last,[1 2 3 4 5]
sulky,[1]
older,[1 2 3 4]
better,[1 2 3 4 5]
allow,[1 2 3 4 5]
knowing,[1 2 3 4]
old,[1 2 3 4 5]
positively,[1 4 5]
refused,[1 2 3 4]
authority,[1 3 4]
ll_,[1]
ring,[1 3 4]
fixed,[1 2 3 4]
cold,[1 2 3 4 5]
ahem,[1]
important,[1 2 3 4 5]
driest,[1]
silence,[1 2 4]
whose,[1 2 3 4]
favoured,[1 4]
pope,[1 4]
submitted,[1 4]
wanted,[1 4 5]
leaders,[1 3]
accustomed,[1 2 4]
usurpation,[1]
conquest,[1 3 4]
edwin,[1]
morcar,[1]
earls,[1 3]
mercia,[1]
northumbria,[1]
ugh,[1]
shiver,[1 2]
frowning,[1]
politely,[1 4]
proceed,[1 2 4]
declared,[1 2 4 5]
him,[1 2 3 4 5]
stigand,[1]
patriotic,[1]
archbishop,[1 4]
canterbury,[1]
advisable,[1 4]
_what_,[1 4]
_it_,[1]
replied,[1 2 3 4]
crossly,[1]
means,[1 2 3 4 5]
frog,[1]
worm,[1 2 3]
notice,[1 2 3 4 5]
hurriedly,[1 3]
edgar,[1]
atheling,[1 3]
meet,[1 2 3 4 5]
offer,[1 2 3 4]
crown,[1 2 3 4]
conduct,[1 2 4]
moderate,[1 2 4]
insolence,[1 4]
normans,[1]
continued,[1 2 3 4]
turning,[1 2 3 4 5]
melancholy,[1 2 4]
solemnly,[1 3]
rising,[1 2 3 4]
move,[1 2 4 5]
meeting,[1 2 3 4]
adjourn,[1]
immediate,[1 2 3 4 5]
adoption,[1]
energetic,[1 4]
remedies,[1 3 4 5]
meaning,[1 2 3 4]
believe,[1 2 3 4 5]
bent,[1 2 3 4]
hide,[1 2 3 4]
smile,[1 2 4]
tittered,[1]
audibly,[1]
_is_,[1 4]
paused,[1 2 4]
_somebody_,[1]
inclined,[1 2 4]
explain,[1 2 4]
winter,[1 2 3 4]
circle,[1 2 3 4]
exact,[1 4]
shape,[1 2 4 5]
placed,[1 2 3 4]
running,[1 3 4]
liked,[1 4]
easy,[1 3 4 5]
hour,[1 2 3 4 5]
panting,[1 4]
has,[1 2 3 4 5]
pressed,[1 2 3 4]
forehead,[1 2]
position,[1 4]
shakespeare,[1 2]
rest,[1 2 3 4 5]
_everybody_,[1]
prizes,[1 4]
